numero_muestra,distancia_objeto,distancia_imagen,tamaño_imagen
1,112.5,56.4,1.03
1,112.5,56.8,1.04
1,112.5,56.3,1.04
1,112.5,56.5,1.06
1,112.5,56.5,1.02
1,112.5,57.1,1.03
2,100.5,47.3,1.85
2,100.5,46.1,1.82
2,100.5,47.0,1.79
2,100.5,48.1,1.80
2,100.5,48.5,1.85
2,100.5,48.0,1.85
3,95.2,26.5,2.61
3,95.2,25.0,2.61
3,95.2,25.5,2.59
3,95.2,30.5,2.69
3,95.2,32.6,2.54
4,123.3,58.8,0.62
4,123.3,59.0,0.62
4,123.3,58.9,0.62
4,123.3,59.2,0.66
4,123.3,59.5,0.65
4,123.3,60.0,0.66
5,106,53.6,1.23
5,106,53.3,1.23
5,106,54.2,1.24
5,106,53.6,1.23
5,106,54.3,1.21
5,106,53.9,1.29
6,94.7,26.5,2.36
6,94.7,24.4,2.38
6,94.7,29.2,2.35
6,94.7,30.0,2.24
6,94.7,29.6,2.34
6,94.7,29.7,2.33
7,103.5,51.4,1.35
7,103.5,51.3,1.38
7,103.5,51.8,1.40
7,103.5,51.6,1.40
7,103.5,52.1,1.40
7,103.5,51.9,1.43
8,115.4,58.0,0.82
8,115.4,57.3,0.81
8,115.4,57.5,0.78
8,115.4,57.7,0.81
8,115.4,57.8,0.81
8,115.4,57.8,0.84
9,106.1,53.3,1.20
9,106.1,53.1,1.20
9,106.1,53.9,1.24
9,106.1,53.9,1.20
9,106.1,54.3,1.14
9,106.1,54.5,1.14
