numero_muestra,distancia_objeto,distancia_imagen
1,114,46.5
1,114,46.7
1,114,47.2
1,114,47.5
1,114,47.7
1,114,47.3
2,116,47.7
2,116,47.8
2,116,47.9
2,116,47.5
2,116,48.5
2,116,48.4
3,124,50.2
3,124,50
3,124,50.5
3,124,50
3,124,51
3,124,50.5
4,128,51.1
4,128,50.6
4,128,51.4
4,128,50.7
4,128,51.5
4,128,51.7
5,109.6,44
5,109.6,44.1
5,109.6,44.2
5,109.6,43.5
5,109.6,44.4
5,109.6,44.7
6,102,29.6
6,102,29.4
6,102,29.5
6,102,29.7
6,102,28.9
6,102,31.5
7,132,51.5
7,132,51.7
7,132,51.8
7,132,51.6
7,132,51.9
7,132,52.4
8,105,38.0
8,105,37.3
8,105,37.4
8,105,38.0
8,105,38.4
8,105,39
